Row,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-rh_fusiform,-1.6326639133196e-05,-1.34139967179077e-05,-6.37888117059012e-06,1.63807894802259e-05,2.65350646465509e-05
lh_bankssts-rh_inferiorparietal,-1.71779628965148e-05,-1.82857743656643e-05,-1.9531950204112e-05,-1.19800123547608e-05,-1.7517324547719e-05
lh_bankssts-rh_inferiortemporal,-1.81466071686145e-05,-1.72235224723811e-05,-1.57592355878361e-05,7.35561783447917e-06,3.14170857111102e-05
lh_bankssts-rh_isthmuscingulate,-5.60750559908954e-06,6.95963117992136e-07,-1.54378217587089e-05,-2.10085444989758e-05,3.91815601851676e-06
lh_bankssts-rh_lateraloccipital,-1.03886213422392e-05,-4.48048109105886e-06,-1.48709146824029e-05,7.87648912902425e-06,3.16595863415116e-06
lh_bankssts-rh_lateralorbitofrontal,-1.95882208524629e-05,-1.92890177451887e-05,-1.16751708427212e-05,1.58826696266489e-05,3.1515685465778e-05
lh_bankssts-rh_lingual,-4.93383084419222e-06,8.39362838980226e-06,-1.37620421685037e-05,1.69469636218666e-05,2.18042129275809e-05
lh_bankssts-rh_medialorbitofrontal,-1.88967270083391e-05,-1.90042006215808e-05,-1.97336262470469e-05,-7.18061827323568e-06,-6.06099705889776e-06
lh_bankssts-rh_middletemporal,-1.80441249435288e-05,-1.90575670719769e-05,-2.25803211676006e-05,-1.33779182321801e-05,-1.07457322762212e-05
lh_bankssts-rh_parahippocampal,-1.27594168015674e-05,-9.11452237550979e-06,1.3684542110424e-06,2.1286736087071e-05,4.41390942673663e-05
lh_bankssts-rh_paracentral,-1.66017074293196e-05,-1.41001383568166e-05,-1.14724220166155e-05,-1.02236879792238e-05,-1.17100986724604e-05
lh_bankssts-rh_parsopercularis,-1.55151309073654e-05,-1.6151707641264e-05,-1.96993425418981e-05,-2.77929482926174e-05,-5.74992329632718e-05
lh_bankssts-rh_parsorbitalis,-1.59624050877494e-05,-1.36779690558244e-05,-1.05998946358461e-05,1.55100769941853e-06,-9.73742367201747e-06
lh_bankssts-rh_parstriangularis,-1.55777126191411e-05,-1.21146643038272e-05,-5.44120920591611e-06,1.21374181689238e-05,1.92739451213291e-05
lh_bankssts-rh_pericalcarine,6.89925866690992e-07,7.65391773054659e-06,-3.29976020910199e-05,-1.51987536911465e-05,-3.59356598300272e-05
lh_bankssts-rh_postcentral,-1.13358314179401e-05,-1.70866816774324e-06,-7.70101373181701e-06,-2.68386308174617e-06,-2.23512986539106e-05
lh_bankssts-rh_posteriorcingulate,-3.49497848474179e-06,1.18883542858817e-05,3.09910047078165e-05,1.69939805345298e-05,8.79538881667935e-05
lh_bankssts-rh_precentral,-1.50608772141686e-05,-1.03918612839897e-05,3.64531968859525e-06,2.61198052974244e-05,3.29721581454698e-05
lh_bankssts-rh_precuneus,-1.75190360022415e-05,-1.71091415276579e-05,-2.14399707627749e-05,-8.63828029389511e-06,-8.84256869904676e-06
lh_bankssts-rh_rostralanteriorcingulate,-2.06053763775496e-05,-1.57786236816282e-05,8.19788881473008e-06,4.60006691690563e-05,7.67173009589589e-05
lh_bankssts-rh_rostralmiddlefrontal,-1.30944496494688e-05,-1.17776194749523e-05,-1.54552791831232e-05,-9.8831281079045e-06,-1.74902684706504e-05
lh_bankssts-rh_superiorfrontal,-2.09608369819148e-05,-2.29098057000705e-05,-2.26273430159111e-05,-8.49984293301701e-07,1.52061880268802e-05
lh_bankssts-rh_superiorparietal,-6.4913598196306e-06,7.19759497931729e-06,1.2413853214899e-05,1.81533145593463e-05,-1.74969524742135e-05
lh_bankssts-rh_superiortemporal,-1.52344263439655e-05,-1.09525185675828e-05,-7.24553144761903e-06,-6.74157680117427e-06,-2.31279666720956e-05
lh_bankssts-rh_supramarginal,-1.78914303314998e-05,-1.63890668558042e-05,-8.44708995148801e-06,9.89880690020219e-06,2.53960749348502e-05
lh_bankssts-rh_frontalpole,-2.03038328831046e-05,-2.15118295600522e-05,-2.25827405623668e-05,4.85310074818371e-06,5.00813732843749e-06
lh_bankssts-rh_temporalpole,-1.11669821343477e-05,6.53106319151797e-07,-1.09484091255576e-05,-3.65944175790566e-06,5.67599185329855e-05
lh_bankssts-rh_transversetemporal,-4.7366953449127e-06,4.88550243157148e-06,3.23630944706135e-05,7.68591599811109e-05,0.000122252017098342
lh_bankssts-rh_insula,-3.32194989187949e-06,9.05191985988794e-07,2.03443089841123e-06,5.62319176411687e-07,9.51838543910446e-06
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-7.29063301396814e-06,7.39753610624197e-06,2.8220587308831e-05,-2.83969947252132e-05,-2.85127238859916e-05
lh_caudalanteriorcingulate-lh_cuneus,-1.64757535331104e-05,-1.90368350349124e-05,-4.94601300090092e-05,-2.7048943572704e-05,-4.19845887209256e-06
lh_caudalanteriorcingulate-lh_entorhinal,-1.53901399165717e-05,-1.23588029977121e-05,-1.49218443184603e-05,-5.04978508430555e-05,-2.6101061527505e-05
lh_caudalanteriorcingulate-lh_fusiform,-8.12749064482509e-06,3.39460535921308e-06,2.34777859169653e-05,-2.91278048322342e-05,-1.75411170760534e-05
lh_caudalanteriorcingulate-lh_inferiorparietal,-9.86764106843567e-06,3.63860152282875e-06,2.84881544094485e-05,-1.64172507791556e-05,-3.77184445464609e-07
lh_caudalanteriorcingulate-lh_inferiortemporal,-1.14908393496498e-05,-2.92355677229524e-07,1.8407106015894e-05,-1.74853245076537e-05,1.72085024259856e-05
lh_caudalanteriorcingulate-lh_isthmuscingulate,-1.12535567253818e-05,-1.17181219427301e-05,-1.01146075210177e-05,-1.94369652816616e-05,-4.80358730145288e-06
lh_caudalanteriorcingulate-lh_lateraloccipital,-1.66764719272513e-05,-1.1546047273303e-05,-7.03043242654358e-06,-2.12752287149542e-05,-5.35723367679975e-06
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-9.16323892958423e-06,1.50704747542428e-06,2.39918598355969e-05,-9.29797445837837e-06,1.49106502480638e-05
lh_caudalanteriorcingulate-lh_lingual,-1.2947381054442e-05,-7.08626900308248e-06,-6.57928962923018e-06,1.78425383791848e-05,4.60570746305423e-05
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-1.63208505825483e-05,-8.19929722445396e-06,7.15588040049438e-06,-1.39673713844998e-05,2.10569247118442e-05
lh_caudalanteriorcingulate-lh_middletemporal,-1.1719631240412e-05,4.45383582973158e-06,3.57921365388114e-05,2.37206855041058e-05,8.10723356535545e-05
lh_caudalanteriorcingulate-lh_parahippocampal,-7.23056824016107e-06,1.07858331517089e-05,4.15057383977934e-05,3.3266648513574e-05,9.29753457442103e-05
lh_caudalanteriorcingulate-lh_paracentral,-1.75695298888074e-05,-1.10801893566964e-05,-9.90653147552564e-07,-4.89175655932313e-05,-4.93113638966221e-05
lh_caudalanteriorcingulate-lh_parsopercularis,-5.81339445806707e-06,1.13026025255457e-05,4.38713704252011e-05,7.94408872222691e-06,3.38062483563005e-05
lh_caudalanteriorcingulate-lh_parsorbitalis,-1.25000293921507e-05,3.3214531804998e-06,3.01847762031876e-05,4.22790285866558e-06,9.56571076242514e-06
lh_caudalanteriorcingulate-lh_parstriangularis,-1.19917113265936e-05,7.16917461182343e-07,2.20021362497648e-05,-1.84438077614399e-05,-1.65926972503143e-06
lh_caudalanteriorcingulate-lh_pericalcarine,-2.5490679744296e-06,2.68344592907349e-06,-1.26090919935353e-05,4.51249403170733e-05,6.31735047443341e-05
lh_caudalanteriorcingulate-lh_postcentral,-1.60503239937841e-05,-6.66352734564449e-06,9.65166845954164e-08,-2.15200597706592e-05,-8.14910051252289e-06
lh_caudalanteriorcingulate-lh_posteriorcingulate,-9.05090580874681e-06,-6.80582292130467e-06,8.57351582402979e-06,1.41043691600003e-05,2.89206149048588e-05
lh_caudalanteriorcingulate-lh_precentral,-8.75440178742733e-06,9.56081570108708e-06,4.04384551022701e-05,-1.14678399960133e-06,2.32887917116014e-05
lh_caudalanteriorcingulate-lh_precuneus,-1.22878017654584e-05,-1.51020384414313e-06,2.04268868037726e-05,-1.4094094356675e-05,9.88708484407091e-06
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,-8.63397648603462e-06,-5.05225992309533e-06,1.07803093031998e-05,-5.97539297005291e-06,6.97675636427818e-06
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,-1.21205159869576e-05,-2.24084757176621e-06,9.43260502037105e-06,-4.44963430770068e-05,-3.56908394393935e-05
lh_caudalanteriorcingulate-lh_superiorfrontal,-1.01050228202554e-05,3.44316152004098e-06,1.87871819610053e-05,-4.29858556753592e-05,-3.71857059091289e-05
lh_caudalanteriorcingulate-lh_superiorparietal,-9.85207468733533e-06,5.16090654444693e-06,2.25017497531153e-05,-1.93028233877253e-05,-3.12629655756978e-05
lh_caudalanteriorcingulate-lh_superiortemporal,-1.15571369468734e-05,4.13464539782704e-06,2.27495741384864e-05,-2.77030995368616e-05,-1.04343220951596e-05
lh_caudalanteriorcingulate-lh_supramarginal,-1.03582226169604e-05,1.55137658477057e-06,2.42942448750815e-05,-2.05764616990695e-05,3.14860369329921e-06
lh_caudalanteriorcingulate-lh_frontalpole,-1.71694261920559e-05,-7.91065210635101e-06,9.53151393867987e-06,1.54136545068591e-05,2.62994410264269e-05
lh_caudalanteriorcingulate-lh_temporalpole,-7.49020927080038e-06,9.90203948395269e-06,1.09261320285488e-05,-9.18573033805064e-06,5.922339089307e-05
lh_caudalanteriorcingulate-lh_transversetemporal,-1.20337339587114e-05,-6.52521998591925e-06,4.53030245138486e-06,-2.09382344938745e-05,-6.1651537036066e-06
lh_caudalanteriorcingulate-lh_insula,2.61472530146164e-06,2.81528168520883e-05,7.34952681258411e-05,8.63264644103529e-05,0.000142216099776302
lh_caudalanteriorcingulate-rh_bankssts,-6.15988053383265e-06,1.01449629197394e-05,4.08604457570872e-05,1.35992551261726e-05,3.0881073695791e-05
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,-5.5710121760671e-06,-1.96549929238423e-06,5.51761237565016e-06,2.21463918549549e-07,1.0848419913246e-05
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-5.97656197908751e-06,1.18009237767813e-05,4.0238487430872e-05,-6.28851290480843e-06,2.50682893470572e-06
lh_caudalanteriorcingulate-rh_cuneus,-1.72183175880437e-05,-2.3962208919385e-05,-6.55565475366372e-05,-4.81455368311058e-05,-2.33972719699117e-05
lh_caudalanteriorcingulate-rh_entorhinal,-1.49434839314432e-05,-1.24063171095358e-05,-1.58815040427619e-05,-4.92739394211562e-05,-1.96611641199324e-05
lh_caudalanteriorcingulate-rh_fusiform,-8.61306425740475e-06,3.13297624129022e-06,2.47423920776657e-05,-2.18270985212013e-05,-8.46730221321315e-06
lh_caudalanteriorcingulate-rh_inferiorparietal,-1.25139953362852e-05,-2.93571435972051e-06,1.37676934320968e-05,-4.25233820243845e-05,-3.74343932691949e-05
lh_caudalanteriorcingulate-rh_inferiortemporal,-1.18892265787115e-05,-1.6341532087238e-06,1.51982159125572e-05,-2.86640523765253e-05,-8.15520413087257e-06
lh_caudalanteriorcingulate-rh_isthmuscingulate,-1.28019101260866e-05,-1.59432276572042e-05,-1.88064184053062e-05,-3.9263418132012e-05,-4.25240298720324e-05
lh_caudalanteriorcingulate-rh_lateraloccipital,-1.69528891014127e-05,-1.10098062900961e-05,-2.93792932297444e-06,-1.88319442412236e-05,2.35948026298776e-07
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,-9.11104926110033e-06,1.95838448192944e-06,2.71186270846929e-05,3.08190145277598e-06,2.57890360828611e-05
lh_caudalanteriorcingulate-rh_lingual,-1.43406505287807e-05,-1.24583915747033e-05,-2.62227367745424e-05,-1.70320888463927e-05,-2.99491478593366e-06
lh_caudalanteriorcingulate-rh_medialorbitofrontal,-1.70145827156425e-05,-1.13243133437105e-05,-1.03378941006094e-06,-3.95811107144565e-05,-2.75204068477815e-05
lh_caudalanteriorcingulate-rh_middletemporal,-1.26445906094792e-05,1.77366235626047e-06,3.00669777093799e-05,5.68008342161168e-06,4.8699833438689e-05
lh_caudalanteriorcingulate-rh_parahippocampal,-1.10171980766089e-05,2.50278400173295e-06,2.33726029058533e-05,3.78201202608774e-06,4.41363063934972e-05
lh_caudalanteriorcingulate-rh_paracentral,-1.46270603487983e-05,-4.33013564339497e-06,1.54099624083509e-05,-2.08649609617216e-05,-3.64883715194234e-06
lh_caudalanteriorcingulate-rh_parsopercularis,-4.87423763325321e-06,1.43775330627152e-05,5.17932441960933e-05,1.98971583081471e-05,4.0191060493557e-05
lh_caudalanteriorcingulate-rh_parsorbitalis,-1.31716599082282e-05,1.63671225277061e-08,2.43269229344684e-05,-7.96859012618738e-06,-4.38638405500842e-06
lh_caudalanteriorcingulate-rh_parstriangularis,-1.01301105327419e-05,4.87145695399675e-06,3.42087946189189e-05,3.38488341726611e-06,2.81521294397358e-05
lh_caudalanteriorcingulate-rh_pericalcarine,-3.5303630276428e-06,-2.13935093172423e-06,-2.4037541237631e-05,2.86428866425788e-05,5.14870955568738e-05
lh_caudalanteriorcingulate-rh_postcentral,-1.42717951630246e-05,-1.10475131090378e-06,1.38968239442688e-05,6.12947208357682e-06,3.31793166277033e-05
lh_caudalanteriorcingulate-rh_posteriorcingulate,-5.26894440945998e-06,3.72716315281161e-06,3.377137327457e-05,5.45408663927835e-05,0.000102632914194221
lh_caudalanteriorcingulate-rh_precentral,-1.06438724957161e-05,5.95680624181862e-06,3.14734312288615e-05,-1.75537909144708e-05,-1.38961086053447e-05
lh_caudalanteriorcingulate-rh_precuneus,-1.35814895708035e-05,-5.58564747745362e-06,9.01159198932706e-06,-3.79756541478857e-05,-3.08706805113303e-05
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-9.53844681620117e-06,-8.86634723781734e-06,3.73520417230555e-06,-1.89613562882961e-05,-2.22576180384127e-05
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,-1.07551427138978e-05,1.87194843469462e-06,1.86856937842892e-05,-2.60715223351523e-05,-1.12274677615941e-05
lh_caudalanteriorcingulate-rh_superiorfrontal,-1.03266333038404e-05,9.762018109066e-07,1.49252773457736e-05,-4.22626897680254e-05,-4.00561077570757e-05
lh_caudalanteriorcingulate-rh_superiorparietal,-8.70266502370662e-06,8.95234026264832e-06,3.18156376836207e-05,1.24516636234959e-06,-4.260354066858e-06
lh_caudalanteriorcingulate-rh_superiortemporal,-1.20639425878074e-05,1.98244203488378e-06,1.98379570536915e-05,-3.70082410514253e-05,-4.09274901206543e-05
lh_caudalanteriorcingulate-rh_supramarginal,-9.48040475925519e-06,3.24892350100994e-06,2.63752944677798e-05,-2.29881655041602e-05,-1.08814590442751e-05
lh_caudalanteriorcingulate-rh_frontalpole,-1.94432077402266e-05,-1.26750327539297e-05,2.22236328216091e-06,8.98771943125514e-06,2.74896286437597e-05
lh_caudalanteriorcingulate-rh_temporalpole,-7.03783486302657e-06,9.70293426700697e-06,6.18244992172115e-06,-2.06578345480611e-05,4.18217499871737e-05
lh_caudalanteriorcingulate-rh_transversetemporal,-8.95096518875919e-06,1.80235904946619e-06,2.50346696181249e-05,1.28597916429143e-05,3.97923745601062e-05
lh_caudalanteriorcingulate-rh_insula,-2.31700489530731e-06,1.83328433028643e-05,5.26186299507582e-05,5.4281234116074e-05,0.000100833317988885
lh_caudalmiddlefrontal-lh_cuneus,1.61012442637457e-06,1.83216862307296e-05,-2.46062222897939e-05,6.79929384993663e-06,1.69539026253439e-05
lh_caudalmiddlefrontal-lh_entorhinal,-4.41443131628898e-06,8.66998216096965e-06,1.90586268654356e-05,3.73303169894115e-05,6.16901079396422e-05
lh_caudalmiddlefrontal-lh_fusiform,-1.10411043081126e-05,-1.02009258871624e-06,1.56919165225847e-06,2.05539894786752e-06,-6.23740555601606e-06
lh_caudalmiddlefrontal-lh_inferiorparietal,-8.53441634898384e-06,-1.84448206263184e-06,-8.15399282912813e-06,-2.74142562543011e-05,-5.29240795130497e-05
lh_caudalmiddlefrontal-lh_inferiortemporal,-1.35060402390578e-05,-5.57964570146973e-06,-1.74911793263266e-06,-5.84259148354412e-06,-4.71970259312891e-06
lh_caudalmiddlefrontal-lh_isthmuscingulate,1.09935456957362e-05,3.66142833163582e-05,2.15951906604175e-05,-1.65190157201136e-05,-7.50728746649866e-06
lh_caudalmiddlefrontal-lh_lateraloccipital,4.43691990296787e-07,1.69201436496435e-05,-8.9199708804936e-06,-1.86681539951377e-06,-2.34281341512996e-05
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,-1.6771163656657e-05,-1.53649707697855e-05,-2.32568822691318e-05,-3.497340724796e-05,-5.71216804195018e-05
lh_caudalmiddlefrontal-lh_lingual,4.44092534507133e-06,2.94240468821766e-05,-1.95833629695831e-06,1.80470879306705e-05,1.26090854477222e-05
lh_caudalmiddlefrontal-lh_medialorbitofrontal,-7.44504169862264e-06,9.86379036260196e-06,2.35334441684233e-05,1.47749860920607e-05,-2.96175267704441e-06
lh_caudalmiddlefrontal-lh_middletemporal,-1.0011140708266e-05,4.26086891136568e-06,2.71181672821543e-05,3.08689038530323e-05,1.94206207086695e-05
lh_caudalmiddlefrontal-lh_parahippocampal,-4.03428206606744e-06,1.05122720510061e-05,1.49894200621768e-05,8.99642962934711e-06,4.27725338965561e-06
lh_caudalmiddlefrontal-lh_paracentral,-6.74880193396369e-06,1.23743094138095e-05,2.58600449452234e-05,3.07659134497446e-05,2.2460346487884e-05
lh_caudalmiddlefrontal-lh_parsopercularis,-9.23061534366833e-06,1.60027879034177e-06,2.12202987249191e-05,4.08586991140199e-05,4.76986067592534e-05
lh_caudalmiddlefrontal-lh_parsorbitalis,-1.11489139675103e-05,3.32982147557756e-06,3.26205959008962e-05,4.53545921683706e-05,2.46858409837387e-05
lh_caudalmiddlefrontal-lh_parstriangularis,-6.63506769143143e-06,5.09350040042783e-06,3.1695511935415e-05,6.06038937471402e-05,9.15045036276737e-05
lh_caudalmiddlefrontal-lh_pericalcarine,8.05463220131806e-06,3.06019216750556e-05,-7.87498537099935e-07,2.807563322237e-05,1.10687260981365e-05
lh_caudalmiddlefrontal-lh_postcentral,-4.93400665558364e-06,1.42264400962876e-05,2.97654856088136e-06,-5.57691187311207e-06,-4.38869464634166e-05
lh_caudalmiddlefrontal-lh_posteriorcingulate,5.96389531311982e-07,2.34383805815064e-05,4.04926717019048e-05,-1.30954549123938e-05,1.62280214037456e-05
lh_caudalmiddlefrontal-lh_precentral,-1.34142849058336e-05,-6.94353293039888e-06,-5.26441498214562e-06,-8.78707311156838e-06,-4.20982481269945e-05
lh_caudalmiddlefrontal-lh_precuneus,-5.8070921931422e-06,7.56936847625821e-06,-5.05670559942331e-08,-6.38697691910788e-06,-2.88408910998892e-05
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,-2.09487303829568e-05,-9.5718395153418e-06,9.30237441134434e-06,1.80346359402263e-05,2.60051782307846e-05
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,-5.47841275740758e-06,2.78147627852962e-06,-5.4258785394322e-06,-3.01378581531384e-05,-6.05474577098495e-05
lh_caudalmiddlefrontal-lh_superiorfrontal,-2.05893932542755e-05,-1.50257136768497e-05,-1.19019638251474e-05,-1.3601741036979e-05,-3.05176967053453e-05
lh_caudalmiddlefrontal-lh_superiorparietal,2.45626143310351e-06,2.65415396987074e-05,2.53798199517577e-05,2.04960156800295e-05,-2.40511542234454e-05
lh_caudalmiddlefrontal-lh_superiortemporal,-1.1075609621505e-05,4.53483112759432e-06,1.62804230864288e-05,1.00489413654454e-05,-2.89972931966259e-05
lh_caudalmiddlefrontal-lh_supramarginal,-1.66598246235785e-05,-1.64898655125999e-05,-2.00164583749648e-05,-2.60368616122344e-05,-2.92680702003144e-05
lh_caudalmiddlefrontal-lh_frontalpole,-1.79734272959287e-05,-1.40084707493278e-05,-7.54939278175266e-06,2.0858446673477e-05,1.34744677666202e-05
lh_caudalmiddlefrontal-lh_temporalpole,-4.55705975733838e-06,1.61783860488881e-05,7.45836020061064e-06,-2.38325330944076e-06,4.11282081026963e-05
lh_caudalmiddlefrontal-lh_transversetemporal,-7.78665111107963e-06,-2.1808132580104e-06,-6.46641630235271e-06,2.05586692723953e-05,4.28385155212747e-05
lh_caudalmiddlefrontal-lh_insula,-1.72408038334687e-07,1.86017930808589e-05,2.62209985711241e-05,3.74409625801846e-05,2.63566409780644e-05
lh_caudalmiddlefrontal-rh_bankssts,-1.26669377039213e-05,-1.2034215352127e-05,-1.11325297552745e-05,-1.46016332000372e-05,-3.35928815864956e-05
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,2.29788175605155e-07,2.37872442813332e-05,4.52905522360183e-05,-1.46606713938336e-05,-6.79892579330727e-06
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,-9.45716790561826e-06,1.46855387331027e-06,2.24154778487345e-05,4.68822499611586e-05,5.77315700650427e-05
lh_caudalmiddlefrontal-rh_cuneus,2.06280719263421e-06,1.40263342236156e-05,-3.71704031402619e-05,-1.32223729158936e-05,3.70583266946678e-06
lh_caudalmiddlefrontal-rh_entorhinal,-6.53039341415175e-06,3.7869922352956e-06,8.55832384292912e-06,2.38903307851572e-05,5.62457013720292e-05
lh_caudalmiddlefrontal-rh_fusiform,-8.65699555943121e-06,5.11841472815913e-06,8.80894143712239e-06,8.82513610643413e-06,-6.59216909616995e-06
lh_caudalmiddlefrontal-rh_inferiorparietal,-8.45360155585685e-06,-3.98268670493226e-06,-1.32545263187486e-05,-2.83756977161089e-05,-4.68276817197603e-05
lh_caudalmiddlefrontal-rh_inferiortemporal,-1.02896009559541e-05,6.09797910180727e-06,2.33043658341647e-05,3.63700516645472e-05,4.88031256795427e-05
lh_caudalmiddlefrontal-rh_isthmuscingulate,8.51881794802316e-06,2.74626365805064e-05,-7.98170182746403e-07,-4.20218913439819e-05,-3.00822185883782e-05
